sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
300,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 300) at the local mean solar time of 11:11:04.",Full,Sol-00300M11:11:04.259,NASA/JPL-Caltech,2021-12-23T21:50:01.231,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 300: Left Navigation Camera (Navcam),9,2021-12-24T05:59:02Z,89.1585,-1.41355,693567901.161,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567900_112ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013674072522013185,0.9995845989603054,0.025370243633601908)","(1.01993,0.688886,-1.97286);(0.00241703,0.999477,0.0324801);(-738.048,649.836,18.6895);(-1.97485,109.202,743.39);(0.00100045,0.999477,0.0325785);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01993,0.688886,-1.97286)",NAVCAM_LEFT,CAHVORE
300,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 300) at the local mean solar time of 11:11:00.",Full,Sol-00300M11:11:00.366,NASA/JPL-Caltech,2021-12-23T21:49:57.231,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 300: Left Navigation Camera (Navcam),9,2021-12-24T05:59:02Z,89.1585,-1.41355,693567897.161,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567896_112ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013674072522013185,0.9995845989603054,0.025370243633601908)","(1.01993,0.688886,-1.97286);(0.00241703,0.999477,0.0324801);(-738.048,649.836,18.6895);(-1.97485,109.202,743.39);(0.00100045,0.999477,0.0325785);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01993,0.688886,-1.97286)",NAVCAM_LEFT,CAHVORE
300,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 300) at the local mean solar time of 11:10:55.",Full,Sol-00300M11:10:55.671,NASA/JPL-Caltech,2021-12-23T21:49:52.406,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 300: Left Navigation Camera (Navcam),9,2021-12-24T05:59:02Z,89.1585,-1.41355,693567892.336,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567891_287ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013674072522013185,0.9995845989603054,0.025370243633601908)","(1.01993,0.688886,-1.97286);(0.00241703,0.999477,0.0324801);(-738.048,649.836,18.6895);(-1.97485,109.202,743.39);(0.00100045,0.999477,0.0325785);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01993,0.688886,-1.97286)",NAVCAM_LEFT,CAHVORE
300,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 300) at the local mean solar time of 11:10:49.",Full,Sol-00300M11:10:49.782,NASA/JPL-Caltech,2021-12-23T21:49:46.331,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J,0,Mars Perseverance Sol 300: Left Navigation Camera (Navcam),9,2021-12-24T05:52:45Z,89.1585,-1.41355,693567886.261,4,"(0.0,0.0,0.0)","(1,1409,5120,1024)","(1280,256)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00300/ids/edr/browse/ncam/NLG_0300_0693567885_237ECM_N0090000NCAM00520_00_2I4J01_1200.jpg,UNK,"(0.013674072522013185,0.9995845989603054,0.025370243633601908)","(1.01993,0.688886,-1.97286);(0.00241703,0.999477,0.0324801);(-738.048,649.836,18.6895);(-1.97485,109.202,743.39);(0.00100045,0.999477,0.0325785);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.01993,0.688886,-1.97286)",NAVCAM_LEFT,CAHVORE
299,"(0.4284385,0.07174438,0.025369689,-0.9003608)",WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ,"NASA's Mars Perseverance rover acquired this image using the SkyCam, an upward-facing camera located on the top deck of the rover. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 17:40:49.",Full,Sol-00299M17:40:49.978,NASA/JPL-Caltech/CAB,2021-12-23T03:50:56.557,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ,0,Mars Perseverance Sol 299: SkyCam Camera ,9,2021-12-23T17:47:33Z,UNK,UNK,693503156.997,UNK,"(0.0,0.0,0.0)","(1,1,2048,1024)","(1056,1024)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/meda/WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/meda/WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/meda/WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/meda/WSM_0299_0693503154_000ECM_N0090000MEDA00000_0000LUJ01_1200.jpg,UNK,UNK,UNK,UNK,SKYCAM,UNK
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:25:44.",Full,Sol-00299M16:25:44.693,NASA/JPL-Caltech,2021-12-23T02:33:44.494,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,57.7805,-7.11757,693498524.971,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498524_895ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.5313895861147192,0.8449923284862794,0.060108839351322184)","(1.05835,0.562068,-1.9597);(0.518125,0.84512,0.131662);(-294.506,934.701,83.0622);(66.0511,111.908,763.201);(0.51691,0.845848,0.13176);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.05835,0.562068,-1.9597)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:25:40.",Full,Sol-00299M16:25:40.772,NASA/JPL-Caltech,2021-12-23T02:33:40.465,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,57.7805,-7.11757,693498520.942,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498520_866ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.5313895861147192,0.8449923284862794,0.060108839351322184)","(1.05835,0.562068,-1.9597);(0.518125,0.84512,0.131662);(-294.506,934.701,83.0622);(66.0511,111.908,763.201);(0.51691,0.845848,0.13176);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.05835,0.562068,-1.9597)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:25:36.",Full,Sol-00299M16:25:36.550,NASA/JPL-Caltech,2021-12-23T02:33:36.158,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,57.7805,-7.11757,693498516.635,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498516_528ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.5313895861147192,0.8449923284862794,0.060108839351322184)","(1.05835,0.562068,-1.9597);(0.518125,0.84512,0.131662);(-294.506,934.701,83.0622);(66.0511,111.908,763.201);(0.51691,0.845848,0.13176);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(1.05835,0.562068,-1.9597)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:24:52.",Full,Sol-00299M16:24:52.186,NASA/JPL-Caltech,2021-12-23T02:32:50.984,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,344.93,-11.6257,693498471.461,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498470_945ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.956608097581828,-0.25641786035910913,0.13838651859820764)","(0.884998,0.317485,-1.94927);(0.94736,-0.242409,0.209197);(797.759,559.319,134.314);(67.6465,-16.0688,771.057);(0.94769,-0.241031,0.209295);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.884998,0.317485,-1.94927)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:24:48.",Full,Sol-00299M16:24:48.289,NASA/JPL-Caltech,2021-12-23T02:32:46.980,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,344.93,-11.6257,693498467.457,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498466_941ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.956608097581828,-0.25641786035910913,0.13838651859820764)","(0.884998,0.317485,-1.94927);(0.94736,-0.242409,0.209197);(797.759,559.319,134.314);(67.6465,-16.0688,771.057);(0.94769,-0.241031,0.209295);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.884998,0.317485,-1.94927)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:24:43.",Full,Sol-00299M16:24:43.548,NASA/JPL-Caltech,2021-12-23T02:32:42.119,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,344.93,-11.6257,693498462.596,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498462_069ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.956608097581828,-0.25641786035910913,0.13838651859820764)","(0.884998,0.317485,-1.94927);(0.94736,-0.242409,0.209197);(797.759,559.319,134.314);(67.6465,-16.0688,771.057);(0.94769,-0.241031,0.209295);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.884998,0.317485,-1.94927)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:24:06.",Full,Sol-00299M16:24:06.472,NASA/JPL-Caltech,2021-12-23T02:32:05.083,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,272.372,-4.12571,693498425.561,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498423_974ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.04245758053490627,-0.9990668099636943,0.007928624350377052)","(0.597866,0.415716,-1.96715);(0.0534913,-0.995385,0.0797654);(773.234,-605.641,51.0447);(9.63579,-169.295,755.386);(0.0549052,-0.9953,0.0798667);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.597866,0.415716,-1.96715)",NAVCAM_LEFT,CAHVORE
299,"(0.428439,0.0717444,0.0253697,-0.900361)",NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Dec. 23, 2021 (Sol 299) at the local mean solar time of 16:24:02.",Full,Sol-00299M16:24:02.531,NASA/JPL-Caltech,2021-12-23T02:32:01.034,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J,0,Mars Perseverance Sol 299: Left Navigation Camera (Navcam),9,2021-12-23T07:48:18Z,272.372,-4.12571,693498421.512,4,"(0.0,0.0,0.0)","(1,1025,5120,1408)","(1280,352)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00299/ids/edr/browse/ncam/NLG_0299_0693498419_926ECM_N0090000NCAM00500_00_2I4J01_1200.jpg,UNK,"(0.04245482252959867,-0.9990669378514117,0.007927277980755938)","(0.597866,0.415716,-1.96715);(0.0534913,-0.995385,0.0797654);(773.235,-605.643,51.0449);(9.6358,-169.296,755.386);(0.0549052,-0.9953,0.0798667);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.597866,0.415716,-1.96715)",NAVCAM_LEFT,CAHVORE
